rank,skill,count,prev_count,change,pct_change,trend,week_start
1,business intelligence,424,113,+311,275.2%,up,2026-08-18
2,artificial intelligence,217,265,-48,-18.1%,down,2026-08-18
3,oracle,128,2,+126,6300.0%,up,2026-08-18
4,data pipeline,114,5,+109,2180.0%,up,2026-08-18
5,sql,114,31,+83,267.7%,up,2026-08-18
6,experimentation,88,3,+85,2833.3%,up,2026-08-18
7,marketing analytics,84,n/a,n/a,n/a,new,2026-08-18
8,power bi,80,13,+67,515.4%,up,2026-08-18
9,data quality,58,13,+45,346.2%,up,2026-08-18
10,tableau,40,8,+32,400.0%,up,2026-08-18
11,kpi,38,3,+35,1166.7%,up,2026-08-18
12,data governance,38,4,+34,850.0%,up,2026-08-18
13,python,32,7,+25,357.1%,up,2026-08-18
14,clustering,32,n/a,n/a,n/a,new,2026-08-18
15,data modeling,28,6,+22,366.7%,up,2026-08-18
16,requirements gathering,28,20,+8,40.0%,up,2026-08-18
17,snowflake,28,7,+21,300.0%,up,2026-08-18
18,statistics,24,2,+22,1100.0%,up,2026-08-18
19,machine learning,24,2,+22,1100.0%,up,2026-08-18
20,excel,22,5,+17,340.0%,up,2026-08-18
21,aws,20,2,+18,900.0%,up,2026-08-18
22,etl,20,5,+15,300.0%,up,2026-08-18
23,databricks,18,7,+11,157.1%,up,2026-08-18
24,classification,18,n/a,n/a,n/a,new,2026-08-18
25,typescript,16,1,+15,1500.0%,up,2026-08-18
26,forecasting,12,4,+8,200.0%,up,2026-08-18
27,generative ai,12,1,+11,1100.0%,up,2026-08-18
28,product analytics,10,n/a,n/a,n/a,new,2026-08-18
29,dbt,10,1,+9,900.0%,up,2026-08-18
30,predictive modeling,8,n/a,n/a,n/a,new,2026-08-18
31,attribution,8,1,+7,700.0%,up,2026-08-18
32,azure,8,1,+7,700.0%,up,2026-08-18
33,master data management,8,2,+6,300.0%,up,2026-08-18
34,elt,6,3,+3,100.0%,up,2026-08-18
35,data lineage,6,n/a,n/a,n/a,new,2026-08-18
36,spark,6,3,+3,100.0%,up,2026-08-18
37,gcp,6,1,+5,500.0%,up,2026-08-18
38,data storytelling,6,1,+5,500.0%,up,2026-08-18
39,qlik,6,n/a,n/a,n/a,new,2026-08-18
40,gdpr,4,n/a,n/a,n/a,new,2026-08-18
41,web analytics,4,n/a,n/a,n/a,new,2026-08-18
42,microsoft fabric,4,1,+3,300.0%,up,2026-08-18
43,ccpa,4,n/a,n/a,n/a,new,2026-08-18
44,pyspark,4,1,+3,300.0%,up,2026-08-18
45,dashboarding,4,4,0,0.0%,flat,2026-08-18
46,hadoop,4,1,+3,300.0%,up,2026-08-18
47,sas,4,n/a,n/a,n/a,new,2026-08-18
48,dax,4,n/a,n/a,n/a,new,2026-08-18
49,gitlab,4,n/a,n/a,n/a,new,2026-08-18
50,redshift,4,1,+3,300.0%,up,2026-08-18
51,fivetran,2,n/a,n/a,n/a,new,2026-08-18
52,incrementality,2,n/a,n/a,n/a,new,2026-08-18
53,java,2,1,+1,100.0%,up,2026-08-18
54,causal inference,2,n/a,n/a,n/a,new,2026-08-18
55,mongodb,2,n/a,n/a,n/a,new,2026-08-18
56,aws glue,2,n/a,n/a,n/a,new,2026-08-18
57,stakeholder management,2,4,-2,-50.0%,down,2026-08-18
58,gemini,2,n/a,n/a,n/a,new,2026-08-18
59,looker,2,1,+1,100.0%,up,2026-08-18
60,ai agents,2,n/a,n/a,n/a,new,2026-08-18
61,git,2,1,+1,100.0%,up,2026-08-18
62,bigquery,2,n/a,n/a,n/a,new,2026-08-18
63,a/b testing,2,1,+1,100.0%,up,2026-08-18
64,pandas,2,1,+1,100.0%,up,2026-08-18
65,feature engineering,1,1,0,0.0%,flat,2026-08-18
66,iceberg,1,1,0,0.0%,flat,2026-08-18
